DATE,B230RC0Q173SBEA
2004-01-01,292237
2004-04-01,292875
2004-07-01,293603
2004-10-01,294334
2005-01-01,294957
2005-04-01,295588
2005-07-01,296340
2005-10-01,297086
2006-01-01,297736
2006-04-01,298408
2006-07-01,299180
2006-10-01,299946
2007-01-01,300609
2007-04-01,301284
2007-07-01,302062
2007-10-01,302829
2008-01-01,303494
2008-04-01,304160
2008-07-01,304902
2008-10-01,305616
2009-01-01,306237
2009-04-01,306866
2009-07-01,307573
2009-10-01,308285
2010-01-01,308901
2010-04-01,309462.0
2010-07-01,310069.0
2010-10-01,310686.0
2011-01-01,311192.0
2011-04-01,311705.0
2011-07-01,312318.0
2011-10-01,312918.0
2012-01-01,313421.0
2012-04-01,313929.0
2012-07-01,314534.0
2012-10-01,315136.0
2013-01-01,315595.0
2013-04-01,316081.0
2013-07-01,316692.0
2013-10-01,317316.0
2014-01-01,317838.0
2014-04-01,318370.0
2014-07-01,319009.0
2014-10-01,319651.0
2015-01-01,320157.0
2015-04-01,320683.0
2015-07-01,321315.0
2015-10-01,321947.0
2016-01-01,322476.0
2016-04-01,322998.0
2016-07-01,323606.0
2016-10-01,324187.0
2017-01-01,324648.0
2017-04-01,325107.0
2017-07-01,325667.0
2017-10-01,326218.0
2018-01-01,326670.0
2018-04-01,327138.0
2018-07-01,327697.0
2018-10-01,328237.0
2019-01-01,328678.0
